id,text,category,sentiment,priority,source,created_at
1,"The app crashes when I click save.",bug,negative,high,web,"2026-03-25T10:15:00Z"
2,"Love the new dashboard layout!",feedback,positive,low,mobile,"2026-03-25T11:02:00Z"
3,"Please add dark mode support.",feature_request,neutral,medium,web,"2026-03-25T12:30:00Z"
4,"Login takes too long on slow networks.",bug,negative,high,api,"2026-03-26T08:44:00Z"
5,"Export to CSV works perfectly.",feedback,positive,low,web,"2026-03-26T09:10:00Z"
6,"Could you support keyboard shortcuts?",feature_request,neutral,medium,desktop,"2026-03-27T14:18:00Z"
7,"Search results are sometimes irrelevant.",bug,negative,medium,web,"2026-03-27T16:55:00Z"
8,"Onboarding tutorial was very helpful.",feedback,positive,low,mobile,"2026-03-28T07:40:00Z"
9,"Need bulk label assignment for speed.",feature_request,neutral,high,admin,"2026-03-28T13:22:00Z"
10,"Notifications are delayed by a few minutes.",bug,negative,medium,api,"2026-03-29T18:05:00Z"
